2016,36738,Low
2016,27079,Middle
2016,580,High
2017,33743,Low
2017,26981,Middle
2017,581,High
2018,29033,Low
2018,27058,Middle
2018,592,High
2019,27971,Low
2019,28525,Middle
2019,630,High
2020,26249,Low
2020,28532,Middle
2020,674,High
